,topic_name,section,subsection,text
466,2023 SAG-AFTRA strike,Background,Pre-strike activity,"Weeks after the Writers Guild of America went on strike in May 2023, SAG-AFTRA's national board of directors unanimously agreed to pursue a strike authorization vote ahead of a renewed contract; SAG-AFTRA approved a new contract in 2020 that would expire on June 30, 2023. The union stated that it did not intend to strike but that it sought to give its negotiators ""maximum bargaining leverage"" ahead of negotiations on June 7, 2023. SAG-AFTRA cited several issues in negotiations, including ""economic fairness, residuals, regulating the use of artificial intelligence and alleviating the burdens of the industry-wide shift to self-taping"", and told its members that the Alliance of Motion Picture and Television Producers would cut actors' salaries to ""pad corporate profits"". In a video released on May 30, 2023, SAG-AFTRA members Julia Louis-Dreyfus, Jean Smart, and Kumail Nanjiani appealed to members to vote to strike but reserved that a vote for strike authorization was solely a bargaining tool, not a vote to order an immediate strike.On June 5, 2023, SAG-AFTRA approved the strike authorization by a 98% margin, according to the union. High-profile members—including Quinta Brunson, Jennifer Lawrence, and Rami Malek—signaled their willingness to strike ahead of the deadline to achieve a ""transformative deal"", despite ""extremely productive"" negotiations. SAG-AFTRA agreed to extend negotiations to midnight on July 13, 2023, in an attempt to avoid a strike, but negotiations broke down in July 2023. SAG-AFTRA surveyed members on a strike on July 5, 2023 and began preparing picket signs two days later.The AMPTP agreed to a ""last-minute request"" for mediation from the Federal Mediation and Conciliation Service on July 11, 2023; congressional and public affairs director Greg Raelson stated that a federal mediator would be present the following day. In turn, SAG-AFTRA accused the AMPTP of attempting to extend negotiations beyond the deadline and reiterated that it would not continue negotiating after July 12, 2023. A number of high-profile actors, including Lawrence and Malek, then affirmed their support again by signing a letter urging the union to take aggressive measures and stating their willingness to strike. It was later reported by Variety that mediation collapsed after AMPTP President Carol Lombardini insulted negotiators by telling them to ""be civilized"" and avert a strike, which prompted a walkout by union negotiators. In response to Lombardini's comment, SAG-AFTRA president Fran Drescher reportedly said to AMPTP negotiators ""Now you've got two unions on strike"" as they left.On July 12, a statement was made announcing the construction of a Fast & Furious-themed roller coaster; the date of the announcement coincided with the deadline SAG-AFTRA gave before ending negotiations with the AMPTP, and construction began by the strike's start. This added to the construction that began on May 8, shortly after the WGA began protesting on-site, obstructing Lankershim Boulevard along the west end of the park's campus and parking lot and further restricting sidewalk access. The sidewalks in front of Gates 1, 2, 4, and 5 would be scaffolded-off and demolished in this construction. Despite prior advice from the Los Angeles Police Department's Labor Relations Unit to place K-rails from River Road to Universal Hollywood Drive for the safety of protesters and other pedestrians since WGA protests as early as June 6, none were placed by July 18, by which time reports of two protesters being struck by vehicles had been made.
On July 13, with no agreement between SAG-AFTRA and the Alliance of Motion Picture and Television Producers (AMPTP), the SAG-AFTRA negotiating committee voted unanimously to recommend a strike to the union's national board. The national board held a vote officially approving the strike. SAG-AFTRA president Fran Drescher announced the strike would begin at midnight on July 14; the cast of Oppenheimer left the film's London premiere ahead of the announcement to walk out. Joined by chief negotiator Duncan Crabtree-Ireland, Drescher asserted that the strike was a reluctant last resort and described the proposed contract as ""moving around furniture on the Titanic."" In the press conference, Crabtree-Ireland alleged that the AMPTP attempted to include a proposal that allowed studios to, for a one-time fee equivalent to one day's pay, have exclusive and indefinite rights to extras' likenesses, including the use of generative AI to replicate them on screen. Media commentators likened this to the film The Congress (2013) and the Black Mirror sixth series episode ""Joan Is Awful"" (2023). However, AMPTP denied these claims, stating that their proposal would allow usage of these replicas within the specific film for which they are employed, and that any other uses would require consent and further compensation."
467,2023 SAG-AFTRA strike,Timeline of negotiations and strike activity,Jul-23,"The strike officially began on July 14. As part of the rules established on July 10, actors cannot engage in film or television productions and cannot take part in promotional work, such as press junkets, film premieres, and events—including San Diego Comic-Con, which was scheduled for July 20–23. The strike action does not apply to SAG-AFTRA members who work under contracts that are negotiated by the union separately from the AMPTP contract, including broadcast journalists. Work in podcasts, ""micro-budget"" independent films, and student films is allowed, as is ""unscripted"" television work such as game shows, reality competition shows, documentaries, and talk shows. Internationally, SAG-AFTRA members are authorized to continue work in the United Kingdom under pre-established Equity collective bargaining agreements, as UK law criminalizes solidarity strikes. The HBO series House of the Dragon thus continued its UK-based filming with SAG-AFTRA actors operating under Equity contracts, prompting backlash among fans of the series.On July 17, the Ficus trees on Barham Boulevard's sidewalk outside Gate 8 were pruned almost entirely of their leaves. Pine trees on the opposite side of Barham were not touched, nor were a row of pepper trees behind the fence near the production gate. The pruning was described as a vindictive action because the trees had been being used by protesters as shade from the over 90 °F (32 °C) summer temperatures of Southern California. The pruning was also described as illegal, on the grounds that the trees are owned by the city and that Los Angeles' tree ordinances prohibit trimming them between July and September. NBCUniversal issued a statement to Deadline Hollywood denying that the trimming was done out of malice, claiming that they trim the trees outside the park in July annually for safety, and describing it and the obstructive construction hazards as ""unintended challenges for demonstrators"". NBCUniversal was fined US$250 for violating tree laws and destroying city property.Also on July 17, SAG-AFTRA released a twelve-page statement outlining the breakdown in negotiations, and terms they found unacceptable, including but not limited to a five-percent salary increase for actors, while the union had asked for eleven percent. The AMPTP released a counter-statement, highlighting that its actions were being ""deliberately distort[ed]"" and that SAG-AFTRA had chosen to pass over ""the most lucrative deal we have ever negotiated... valued at $318 million over the three-year term of the contract.""On July 18, NBCUniversal was accused of conducting business at Universal Studios Hollywood to deter or endanger the protesters and infringe on their rights to protest. In response, SAG-AFTRA and WGA issued a joint grievance to the National Labor Relations Board against NBCUniversal, accusing the company of interfering with their freedom to picket and endangering their members. Writers Guild of America West additionally filed a petition to the AMPTP in response to NBCUniversal's failure to install barriers to protect WGA and SAG-AFTRA protestors from the risk of being forced into traffic. NBCUniversal responded to The Hollywood Reporter in a statement: ""We are aware of the WGA and SAG-AFTRA complaints. We strongly believe that the company has fulfilled our legal obligations under the National Labor Relations Act (NLRA) and we will cooperate with respect to any inquiries by the National Labor Relations Board on this issue. While we understand the timing of our multi-year construction project has created challenges for demonstrators, we continue to work with public agencies to increase access. We support the unions' rights to demonstrate safely.""On July 19, 2023, SAG-AFTRA approved more films to be shot during the strike, including Ishana Night Shyamalan's The Watchers, Sam Raimi's Don't Move, and David Lowery's Mother Mary. 56 films then became eligible to shoot under strike rules.On July 25, 2023, thousands of actors rallied Tuesday morning at Times Square from 9:30 A.M. to noon to voice their concerns about fair treatment and wages. SAG-AFTRA's main contractual negotiator, Duncan Crabtree-Ireland spoke about the struggle that the union is facing with the AMPTP.  Many celebrities gave speeches to express their concerns about the future of their union and technological advancements in the industry.  In attendance were: Lauren Ambrose, Matt Bomer, Christine Baranski, Steve Buscemi, Bobby Cannavale, Tituss Burgess, Liza Colón-Zayas, Bryan Cranston, Jessica Chastain, Gregory Diaz, Jennifer Ehle, Brendan Fraser, Nancy Giles, Danai Gurira, Jill Hennessy, Marin Hinkle, Stephen Lang, Arian Moayed, Christopher Meloni, Chloë Grace Moretz, Wendell Pierce, Michael Shannon, Christian Slater, Corey Stoll, Merritt Wever and Rachel Zegler."
468,2023 SAG-AFTRA strike,Timeline of negotiations and strike activity,Aug-23,"Picketing was called off for one day, August 21, 2023, due to Hurricane Hilary."
469,2023 SAG-AFTRA strike,Timeline of negotiations and strike activity,Sep-23,"On September 1, the SAG-AFTRA National Board voted to send the video game strike authorization vote to its members, and on September 25, the results showed the authorization passed with 98.32% voting in favor.After the WGA and AMPTP reached a tentative agreement on September 24, leading to the official end of the WGA strike on September 27, SAG-AFTRA announced that it remains on strike, and called for renewed negotiations with the AMPTP. Later on September 27, SAG-AFTRA and AMPTP made a joint announcement that ""SAG-AFTRA and the AMPTP will resume negotiations for a new TV/Theatrical contract on Monday, October 2."""
470,2023 SAG-AFTRA strike,Timeline of negotiations and strike activity,Oct-23,"On October 2, SAG-AFTRA and the AMPTP met for negotiations, in the first meeting between the two unions since the SAG-AFTRA strike began on July 14. Unlike the WGA's negotiations, the SAG-AFTRA's negotiations were held at SAG-AFTRA's headquarters on Wilshire Boulevard rather than the AMPTP's headquarters in Sherman Oaks as, according to Deadline, SAG-AFTRA officials were displeased ""with the AMPTP's setup"" and wanted a change of scenery. Participants included AMPTP chief Carol Lombardini, Donna Langley (NBCUniversal), David Zaslav (Warner Bros. Discovery), Ted Sarandos (Netflix), Bob Iger (Disney), as well as SAG-AFTRA's Fran Drescher, Duncan Crabtree-Ireland, and Ray Rodriguez. The meeting concluded with an announcement that they would meet again on the 4th. This pattern continued from October 4 to 9, when a joint statement announced a meeting on October 11. However, negotiations broke down on October 11.Beginning October 12, numerous reasons were given as to why negotiations stopped. Sarandos said that talks broke down because SAG-AFTRA ""introduced a levy on subscribers on top of [other] areas"" which he said was ""a bridge too far."" However, SAG-AFTRA accused the AMPTP of using ""bully tactics"", with SAG-AFTRA president Fran Drescher, stating that the AMPTP ""had given us a proposal package. We worked for like 36 hours on it. We brought it back to them. We walked them through it and they left and then called a few hours later and said, 'We're breaking negotiations.'"" Drescher has also said that SAG-AFTRA wants to continue negotiations. Duncan Crabtree-Ireland (SAG-AFTRA) also responded stating that, ""the public statement from the CEOs in their press release from the AMPTP characterized our demands as excessive. But really we don't think they are. The numbers they've been using are wildly overstated.""On October 16, SAG-AFTRA announced that it will schedule negotiations regarding a new video game contract.On October 19, Deadline Hollywood reported that a Zoom call between Hollywood stars (George Clooney, Scarlett Johansson, Kerry Washington, Tyler Perry, Bradley Cooper, Meryl Streep, Jennifer Aniston, Robert De Niro, Ben Affleck, Laura Dern, Emma Stone, Reese Witherspoon, Ryan Reynolds, and Ariana DeBose) and SAG-AFTRA leaders introduced a proposal that ""amounts to the town's biggest earners defraying the costs to AMPTP signatories by eliminating the cap on membership dues, to be used to bolster health benefits and other areas that SAG-AFTRA is trying to shore up. The offer would remove the $1 million cap on membership dues,"" and ultimately would have brought $150 million over three years. While Crabtree-Ireland found the proposal ""worthy of review and consideration"" as ""someone wanting to help is not someone wanting to undermine,"" Drescher ultimately rejected the offer, saying that it is not feasible. She instead called upon the AMPTP to resume negotiations with SAG-AFTRA.On October 20, actress and former SAG president Melissa Gilbert dismissed a message from SAG-AFTRA stating that actors should not wear Halloween costumes of characters from ""struck companies,"" and said: ""THIS is what you guys come up with? Literally no one cares what anyone wears for Halloween ... do you really think this kind of infantile stuff is going to end the strike? ... please tell me you're going to make this rule go away... and go negotiate!... people are suffering mightily... this is the kind of silly bullshit that keeps us on strike.""On October 21, a joint statement announced that negotiations would resume on October 24, 2023. After a full day of negotiations on the 24th, the initial plan of meeting on October 25 was moved to October 26. Negotiations thus resumed on October 26, with Crabtree-Ireland stating that they are ""100% focused on making a fair deal at the table ... I am cautiously optimistic that can happen. I don't really want to characterize what's going on in the room but we're really focused on just staying prepared and focused on getting the negotiations done."" An individual also speculated to The Wrap that ""studios believe that if they can’t reach a deal in the next week with the Screen Actors Guild, which has been on strike since July 14, then no new production will be able to start before 2024."" After the meeting, they announced that negotiations will continue on October 27. Also on October 26, a public letter signed by thousands of high-profile actors was sent to the SAG-AFTRA negotiating committee encouraging them to keep fighting for their values rather than cave in to the studios' demands, saying, ""As hard as this is, we would rather stay on strike than take a bad deal.""On October 27, 2023, negotiations continued, but no deal was made, and it was announced that talks will continue over the weekend. The four studio CEOs did not attend the meeting, and Lombardini attended in their stead. The meeting on October 28 was conducted virtually between SAG-AFTRA leaders Drescher, Crabtree-Ireland and the SAG-AFTRA negotiating committee, with the guild awaiting a response from the studios, and plans to meet again on October 29.Then, after intermittent communications on October 29, a guild source told Deadline Hollywood that there ""is a feeling of optimism... looks like we're in the final stretch."" Deadline also states that ""both sides expressed confidence a deal may be reached within days, but as before cautioned the situation is still fluid. From our understanding, SAG-AFTRA and the studios have gained 'significant' traction on bridging their gap over what has been termed as success-based compensation for streaming shows and their casts."" Late in the evening SAG-AFTRA  stated: ""Both parties will be working independently Monday and re-engage on scheduling at the end of the day."" The next day, Crabtree-Ireland informed Deadline that the weekend talks were ""productive,"" and he continues to remain ""cautiously optimistic about making progress."" Also according to Deadline, he said that SAG-AFTRA and AMPTP are ""not just 'dotting I's and crossing T's' just yet... He added that AI is the current focus of talks."" Later in the afternoon a ""well-positioned individual"" told Deadline Hollywood that ""There's still a lot of work to be done."" Another source told Deadline, ""there's a lot of common ground now, and we are building on that... details still have to be determined, but we're heading in the right direction."" That evening, SAG-AFTRA released a statement saying they would meet again on October 31.On October 31, talks ended early out of consideration of families celebrating Halloween, with the intention to meet again on November 1, and with plans to have further meetings later in the week if needed."
471,2023 SAG-AFTRA strike,Timeline of negotiations and strike activity,Nov-23,"Meetings continued from November 1 to November 3. On November 4, SAG-AFTRA lead negotiators stated that they ""received an offer today from the AMPTP, which they characterized as their 'Last, Best, and Final Offer' ... we are reviewing it and considering our response within the context of the critical issues addressed in our proposals."" On November 5, SAG-AFTRA sent a statement to its members saying that the negotiating team had ""analyzed and thoroughly discussed the AMPTP's counter proposal all day and well into the night and will continue our deliberations on Monday.""  On November 6, SAG-AFTRA sent a letter to members that said: ""This morning our negotiators formally responded to the AMPTP’s 'Last, Best & Final' offer ... there are several essential items on which we still do not have an agreement, including AI."" Later that evening, Deadline Hollywood reported that the virtual meeting ended late, with plans to continue negotiations. A studio insider told Deadline that, ""this was a productive session, some work still required before there’s a deal."" On November 7, SAG-AFTRA and AMPTP met again. A ""guild source"" told Deadline Hollywood that they ""are very close ... not done yet, but very close with strong protection language in place."" However, the meeting ended without a deal, and with plans to continue talking on November 8. In addition, Deadline Hollywood reported that it ""heard from several sources that guild president Fran Drescher was pinged by A-list stars asking about whether a deal was nigh."" Also on November 7, Tyler Perry gave an interview on CBS Mornings. While praising the SAG-AFTRA lead negotiators, he also stated that the work stoppage has been ""debilitating,"" and that ""it's really important to know when we've won. This is only a three-year deal. In two years, two-and-a-half years, we'll be renegotiating again ... so we have to know what have we won, and what have we won for now? That's the thing. For now. [...] If I had ran my business trying to get everything at once, I wouldn't be here. I've got as much as I can for now, so let's see what we can do next.""On November 8, 2023, SAG-AFTRA released a statement to its members that announced the end of the strike: “We are thrilled and proud to tell you that today your TV/Theatrical Negotiating Committee voted unanimously to approve a tentative agreement with the AMPTP. As of 12:01am on November 9, our strike is officially suspended and all picket locations are closed."" The SAG-AFTRA's National Board committee then approved the agreement by a majority of 86%. The summary of the agreement would be published on November 13, 2023. Voting among SAG-AFTRA members began on November 14 and is scheduled to conclude on December 5."
472,2023 SAG-AFTRA strike,Strike activity and responses,Locations,"SAG-AFTRA's strikes in Los Angeles targeted the major film studios as well as offices for companies. Drescher personally joined the strikes outside of Netflix's offices. Josh Gad was among the protestors at Fox Entertainment's picket lines. Allison Janney, Kaitlyn Dever, Logan Lerman, and Joey King joined protests at Warner Bros., and actresses Constance Zimmer and Ginnifer Goodwin took part in picket lines at Paramount's Los Angeles studios. Disney's offices saw picket lines whose notable members included Mandy Moore, Michelle Monaghan, Raini and Rico Rodriguez, Danielle Fishel, and Ben Schwartz.SAG-AFTRA's New York picketing action took place at Paramount's New York headquarters at 1515 Broadway and various offices of NBCUniversal, including Rockefeller Center. Jason Sudeikis joined the NBCUniversal picket lines, stating that actors would strike for ""as long as it takes"", as did Joe Pantoliano, the Naked Cowboy, Alex Edelman, and Sarah Sherman. Meanwhile, at Paramount's headquarters, picket lines included Michael Schur and Kevin Bacon.SAG-AFTRA also staged brief strikes at other locations outside of New York and Los Angeles. Branded as ""Quick Photo Op"" strikes, these took place in Orlando, Honolulu, and Atlanta. The union stated it plans to launch more protests across the country, requesting that SAG-AFTRA members contact their local executives for details."
473,2023 SAG-AFTRA strike,Strike activity and responses,Media executives' response,"Before the end of SAG-AFTRA's negotiations, one anonymous AMPTP executive stated that their current strategy was to ""allow things to drag on until union members [started] losing their apartments and losing their houses"" to force SAG-AFTRA into less favorable negotiating positions.Casey Bloys, CEO of HBO and Max, said the strike ""will slow everything down."" He predicted the strike would heavily affect HBO's 2024 season.Bob Iger, the CEO of The Walt Disney Company, said the actors' demands were ""not realistic"", adding they were ""adding to the set of challenges that this business is already facing"". Iger has been criticized for these remarks in light of his contract with Disney, which allows him to earn as much as $27 million in 2023 between his salary and bonuses. TheWrap wrote Iger makes over 500 times the median salary of Disney employees, while Town & Country wrote it was actually 1,242 times a Disney employee's median salary. When asked about Iger's remarks, Drescher described them as ""repugnant"" and ""tone deaf."" She went on to call Iger a ""land baron"" who ""has no idea about what is really happening"". The Wall Street Journal also called Iger ""tone deaf"". Actor Bryan Cranston responded to Iger in part: ""We will not be having our jobs taken away and given to robots."""
474,2023 SAG-AFTRA strike,Strike activity and responses,Politicians' response,"U.S. President Joe Biden, Vermont U.S. senator Bernie Sanders, and Mayor of Los Angeles Karen Bass have voiced their support for the actors' union. Biden had previously supported the writers on strike in May 2023. Some politicians joined the picket lines themselves, including Burbank mayor Konstantine Anthony (himself a SAG-AFTRA member) and California U.S. Representative Adam Schiff. U.S. Representative Alexandria Ocasio-Cortez joined the picket line in front of Netflix studios in New York City. She criticized the wealth of studio executives while the average screenwriter or actor struggles to get access to healthcare, and she emphasized the power of direct action in achieving economic victories.Both Bass and Governor of California Gavin Newsom have offered to help mediate an end to the strikes."
475,2023 SAG-AFTRA strike,Strike activity and responses,Other unions' response,"Numerous other labor unions in the United States expressed support for the strike. Along with the Writers' Guild, statements of support were released by the Directors Guild and Producers Guild. The International Brotherhood of Teamsters, itself in a contractual dispute with UPS and scheduled to go on strike at the end of July if no deal is reached, expressed support through a statement released by their president, Sean O'Brien. The AFL–CIO additionally threw their support behind SAG-AFTRA, as did the Department for Professional Employees, the International Alliance of Theatrical Stage Employees, and the Writers Guild of America, East."
476,2023 SAG-AFTRA strike,Strike activity and responses,Other organizations' response,"Two forthcoming film festivals, the Toronto International Film Festival and the Venice International Film Festival, have acknowledged the potential impact of the strike and its associated ban on promotional appearances by actors if the strike is not resolved by September but have indicated that both events will proceed regardless, with an increase of Canadian, European, Asian, and South American titles in all sections being expected. However, leaders of SAG-AFTRA had been adamant that actors in movies with interim agreements should be at festivals to promote them."
477,2023 SAG-AFTRA strike,Strike activity and responses,Impacted productions,"On October 30, 2023, the Hunger Games prequel film The Hunger Games: The Ballad of Songbirds & Snakes was given an interim agreement so that actors could promote the film during the strike."
478,2023 SAG-AFTRA strike,Notes,,
479,September 2023 northeastern U.S. floods,Summary,,"In a three-day period from September 11 to September 13, 2023, slow-moving thunderstorms associated with a low-pressure area caused flash flooding across multiple states across the Northeastern and Mid-Atlantic regions of the United States. A stationary front, combined with a convergence zone, caused significant flooding, prompting the National Weather Service to issue multiple flash flood warnings and two flash flood emergencies, one for the city of Leominster, Massachusetts, and the other for the Baltimore, Maryland, area. Several minor injuries occurred during the severe weather event, and hundreds of homes and vehicles were flooded. Evacuations also occurred after concerns of a compromised dam near a neighborhood of Leominster, and all schools in the city were closed the day after the floods. Massachusetts governor Maura Healey declared a state of emergency for Leominster and North Attleborough following the floods."
480,September 2023 northeastern U.S. floods,Meteorological synopsis,,"On September 11, a stationary frontal boundary, combined with a low-pressure area in eastern New Jersey and a convergence zone extending across Connecticut, Rhode Island, and Massachusetts, brought slow-moving showers and thunderstorms to the Northeastern United States, bringing heavy rainfall across portions of the region. Favorable thermodynamics also supported thunderstorm development, and surface-based convective available potential energy in the 1000-1500 J/kg values were also in place across a small portion of the region. Matthew Belk, a National Weather Service meteorologist, stated that the flood was a ""200-year event""."
481,September 2023 northeastern U.S. floods,Impact,Massachusetts,"Streets and numerous homes were flooded in the city of Leominster, and the downtown area there was also flooded, where buildings were flooded and a few partially collapsed. A sinkhole also opened near a Cadillac car dealership, damaging vehicles there. Massachusetts governor Maura Healey described the flooding ""catastrophic"", and a flash flood emergency was issued for Leominster and Fitchburg. Residential areas in neighborhoods near Leominster were asked to immediately evacuated as concerns were raised over the Barrett Park Pond Dam, which was compromised and was already in poor condition. Homes near Route 117 near Fall Brook, a neighborhood of Leominster, were ""significantly damaged"". School buildings near Leominster also suffered damage, and more than 15 roads, including portions of the Massachusetts Turnpike (I-90), Route 13 and Route 2, were closed due to flooding and road damage. At least 9.5 inches (240 mm) of rain fell in several hours in Leominster, and an evacuation order was also issued for low-lying areas near Fall Brook and the North Nashua River. Several minor injuries also occurred, as many vehicles were submerged in floodwaters. MBTA Commuter Rail service was also affected, with trains and buses being terminated, diverted, or originating at a different station, including trains along the Fitchburg Line. Leominster mayor Dean Mazzarella stated, ""Find a high spot somewhere. Find a high spot and stay there until this is over."", and also claimed that at least 11 inches (280 mm) of rain fell. More than $40 million in damages occurred to city infastructure.Flood damage also occurred in North Attleborough, where 200 homes were flooded, including basements, and vehicles were submerged. Several roads were closed, and the emergency operations center was activated there. Two Boston Red Sox games were postponed due to the rainfall. Nearly 2,400 power outages occurred across the state. A tornado warning was also issued for Bristol, Norfolk, and Plymouth counties after the storm which prompted the warning in Rhode Island moved into southern portions of the state. At Logan International Airport in Boston, 75 flights were cancelled and 245 were delayed."
482,September 2023 northeastern U.S. floods,Impact,Connecticut,"On September 13, streets were flooded in West Hartford, submerging a car, as a flash flood warning was issued for Hartford. Roads were also flooded in Farmington, prompting law enforcement to place signs and barricades across the flooded area. At least eight people were rescued in Danbury as cars were submerged in floodwaters. Route 317 was closed near Roxbury, and a Holiday Inn hotel was damaged by floods. Flash flood warnings were issued for several counties in the state, and a severe thunderstorm warning was issued for the Hartford area as streets and buildings were flooded there. Flooding also occurred in Bristol, where flooded roads submerged at least three cars. One of the storms which produced heavy rainfall spawned an EF1 tornado near Danielson, and Killingly, downing trees and causing minor damage to two homes, and a tornado warning was also issued for that area."
483,September 2023 northeastern U.S. floods,Impact,Rhode Island,"An apartment complex consisting of 24 apartments were affected by floods on September 11 in Cranston, where two dogs died and two cats went missing. Flooding impacted a shopping plaza, damaging businesses and prompting 25 people to be rescued from floodwaters. The West River overflowed, forcing a road to close after the roadway was under 4 feet (1.2 m) of water. Flooding also occurred in Cumberland, and North Providence. Floods caused delays on the Providence/Stoughton Line. The tornado which impacted areas near Danielson and Killingly, Connecticut crossed the border into Rhode Island, where trees and power lines were down in Foster."
484,September 2023 northeastern U.S. floods,Impact,Maryland,"On September 12, a flash flood emergency was issued for the entire Baltimore area as 3–5 in (76–127 mm) of rain fell. Several roads and highways, including portions of the Capital Beltway (I-495) and US 29 were closed due to floodwaters on the roadway, and flooding also stranded drivers on several roads in the city. More than 1,500 power outages occurred across the state. Flash flood warnings and a tornado warning was issued for parts of the state as the storms moved through."
485,September 2023 northeastern U.S. floods,Impact,New York and New Jersey,"In New Jersey, more than 1,500 power outages occurred, and a water rescue took place after a woman and her dog were in a submerged vehicle in Perth Amboy. Several streets were flooded in Hoboken as a flood watch was in effect for northeastern parts of the state. At Newark Liberty International Airport, there were 107 cancelled flights and an additional 219 delayed. Before a Monday Night Football game between the New York Jets and Buffalo Bills, a shelter-in-place warning was issued at MetLife Stadium. Across New York City-area airports, at John F. Kennedy International Airport, 70 flights were cancelled and 274 flights were delayed, while at LaGuardia Airport, 132 flights were cancelled and 194 were delayed on September 11. A Major League Baseball game between the New York Mets and the Arizona Diamondbacks was delayed at Citi Field."
486,September 2023 northeastern U.S. floods,Aftermath,,"All schools in Leominster were closed on September 12, the day after the floods, due to flood damage that occurred in the school buildings. Boat rescue and emergency response teams were dispatched to areas in northern Massachusetts following the floods. Looting also occurred in flooded businesses in Providence, Rhode Island. Massachusetts governor Maura Healey declared a state of emergency for Leominster and North Attleborough as she toured the flood damage in those locations. The American Red Cross assisted flood victims in Cumberland and North Providence, Rhode Island, and two schools opened as shelters to flood victims in Leominster.


"
487,September 2023 southwestern U.S. floods,Summary,,"In a period of three days on September 1–3, 2023, flooding occurred as part of a seasonal monsoon season across portions of the Southwestern United States, including California, Nevada, Arizona, Utah and the Las Vegas Valley. Muddy terrain during the Burning Man festival stranded more than 70,000 people."
488,September 2023 southwestern U.S. floods,Meteorological synopsis,,"Across the Desert Southwest, training showers and thunderstorms developed as they headed northward by an almost-undirectional flow, which was situated between a low-pressure area across California, and a retreating ridge of high pressure to the east of the low. Southerly flow between the low and the high pressure ridge caused moisture to be driven northward, surface-based convective available potential energy values of 1000–2000 j/kg yielded conditions for heavy rainfall-producing convective systems, and weak shortwaves combined with shear between 25–35 knots (29–40 mph; 46–65 km/h; 13–18 m/s) also provided thunderstorm development. On September 1, the Weather Prediction Center also stated in a mesoscale precipitation discussion that repeated rounds of thunderstorms were possible across the southwestern United States."
489,September 2023 southwestern U.S. floods,Impact,Nevada,"Interstate 15 near the California—Nevada border and south of Jean was shut down due to flooding. At least 24 water rescues occurred and more than 30 vehicles submerged in floodwaters as crews from Las Vegas Fire & Rescue assisted with search and rescue efforts. One death, possibly due to drowning from floodwaters, occurred near Las Vegas in West Valley, Nevada. A downpour also temporarily delayed a UNLV—Bryant college football game at Allegiant Stadium. Portions of the Las Vegas Strip flooded, including a channel outside of the The Linq as the city of Las Vegas was under a flash flood warning. The Nevada Department of Transportation closed travel lanes on Nevada State Route 447. Debris closed all but one lane on U.S. Route 93 northbound.More than 4,000 power outages occurred, and 108 flights were cancelled, along with 673 delayed flights at Harry Reid International Airport. A ground stop was also briefly issued for the airport."
490,September 2023 southwestern U.S. floods,Impact,California,"More than 12 water rescues occurred in Imperial County, as several roads in that county were also closed due to debris and flooding. Portions of California State Route 78 in Imperial Valley were closed, and the California Highway Patrol, United States Coast Guard’s San Diego sector, and the Imperial County Fire Department assisted with flood rescue operations. More than 4 inches (100 mm) fell across portions of Imperial County and east of Palo Verde. Road closures also occurred in Coachella Valley, and the Riverside County Emergency Management Department coordinated with numerous emergency management departments to address damage and concerns."
491,September 2023 southwestern U.S. floods,Impact,Arizona,"Several streets were flooded in a Yuma neighborhood as the city received up to 4 inches (100 mm) in two hours. Yuma, Mohave, Pima, and La Paz counties were under a flash flood warning, and a funnel cloud was reported near San Luis. Cities in western Arizona, including Kingman, Bullhead City, and Fort Mohave were also under flash flood warnings."
492,September 2023 southwestern U.S. floods,Impact,Elsewhere,"Mudslides forced closures on portions of U.S. Route 6 and U.S. Route 191 in Carbon County. Severe thunderstorm warnings were issued for portions of western Utah. Severe thunderstorm warnings and flood advisories were also issued for Eastern Idaho.


"
493,Timeline of the Joe Biden presidency (2023 Q3),Summary,,"The following is a timeline of the presidency of Joe Biden during the third quarter of 2023, from July 1 to September 30, 2023. See timeline of the Joe Biden presidency to navigate between quarters."
494,Timeline of the Joe Biden presidency (2023 Q3),Timeline,Jul-23,
495,Timeline of the Joe Biden presidency (2023 Q3),Timeline,Aug-23,
496,Timeline of the Joe Biden presidency (2023 Q3),Timeline,Sep-23,
497,Timeline of the Joe Biden presidency (2023 Q3),Notes,,"

"
498,2023 United Auto Workers strike,Summary,,"The 2023 United Auto Workers strike was a labor strike involving automobile workers in the labor union United Auto Workers (UAW) and the three unionized automakers in the United States—Ford Motor Company, General Motors, and Stellantis. These three automakers' factories combined employ about 145,000 UAW members and produce about 50 percent of the vehicles manufactured annually in the US, accounting for 1.5 percent of US GDP. The strike began on September 15, 2023, when the union was unable to reach a deal with the three automakers. It was the first trilateral strike against the three automakers in the union's history.
The hardline stance taken by the newly elected UAW president Shawn Fain contributed to the UAW's decision to strike. In particular, he has criticized stagnant wages that do not account for inflation and has called for the end of a tiered employment system that underpays newer employees, the restoration of overtime and retirement benefits that were lost as a result of the 2007–2008 financial crisis, the institution of a four-day workweek, and improved worker protections against plant closures as electric vehicle production increases.
A central concern for the automakers is the cost of labor relative to domestic and foreign non-union competitors, particularly as the industry transitions to electric vehicle manufacturing. The automakers have stated that they anticipate the need to invest a significant portion of their profits from gasoline-powered vehicles into new production technology for electric vehicles.The strike was suspended in the last week of October as the automakers made tentative deals that largely matched the UAW demands, starting with Ford on October 25, followed by Stellantis on October 28 and finally General Motors on October 30. In announcing the deals with the automakers, UAW instructed workers to return to the job, thus ending the 46-day labor strike on October 30th. The new contracts would be ratified when individual UAW membership voting with all three companies ended from November 16-17 2023."
